CMS CODE,RO NAME,Zone,MOBILE NO,EMAIL IDS,ADDRESS 
56571XA571,Sri Kumaran Fuels,South I,9500747181, Srikumaran270170@gmail.com," S.F.No . 836/1 , Naickanahalli Village, Dharmapuri Morappur Main Road, Dharmapuri Dharmapuri 635305"
56376XA376,Sri Raju Traders,South I,7010277477, srirajutraders@gmail.com," 223/3B1, Athanoor Village, Rasipuram Taluk, Namakkal Namakkal 637401"
51713NA713,AM Petro Sales,North,9316100002, Sunny.Kapila57@yahoo.com," Khewat No. 3803/6227,Khasra No.2124/542/ 8-15, 2126/543/6-0, 544/7-6, Sular Road, Patiala Patiala 147001"
51622NA622,S S Oil & Filling Station,West III,9414281209, sushilbijawat@gmail.com," Khasra No.1321/1,Village–Masuda-1, Tehsil –  Masuda, Ajmer Ajmer 305623"
56271XA271,Crystal,South I,9003965441, Umarmukthar8@gmail.com," Survey No: 3/6A, Athiyur Village, Kunnam Taluka, Perambalur Perambalur 621108"
56008XA008,RGK Agencies,South I,9245240470, vpraganesh@gmail.com," 126,Sivanthipatti Road,Thiyagaraja nagar  Tirunelveli Tirunelveli 627011"
51548NA548,Maa Shakumbhri Energy Center,North,9805400047, Yashaggarwal.rajpur@gmail.com," Khasra No.561/330/206/67 Vill.Behrewala, Paonta Sahib, Sirmour Sirmour 173025"
51835NA835,Maa Shakambari Fuels,North,9672982508,"""singh.g87@gmail.com"," Vill. Usmankhera,Abohar-Ganganagar Road, Tehsil. Abohar Fazilka Fazilka 152132"
55103XA103,Babu Petro Fuels,South I,9600744667,0707BABU@GMAIL.COM,"1,2 Poumambal Nagar Chennai to Kumbakonam road, Nr. Nlc Arch Gate, Vadakuthu Post Cuddalore Vadakuttu 607303"
55210XA210,Sri Venkateshwara Fuel Station,South II,9591000004,10KCREDDY@GMAIL.COM, Commercial Property No.71/1 (Part of Sy.No.25/1) Kolar Bangarpet 563114
45196TA196,SHRIJI AUTO CENTER,West I,9425415588,12345678910rajesh@gmail.com, Dhamnod Barwaha Road Maheswar Khargone Khargone 451001
55500XA500,Laxmi Narasimha Filling Station,South II,9742330222,2008kr@gmail.com," Survey No: 580,Village: Amarchintha, Mandal: Atmakur, Mahaboobnagar Mahaboobnagar 509131"
46028TA028,RUDRA AUTOCARE,West II,9978947010,20102NIT@GMAIL.COM," Survey No.9 Paiki 3, Village-Unchvan  Tal- Umarpada , District-Surat SURAT SURAT 394440"
46163TA163,Vedant Filling Station,West II,9978947010,20102NIT@GMAIL.COM, Survey No. 3 K Vill Chikada Ta. Dediyapada Dist. Narmada Narmada Narmada 393041
45406TA406,NANDAN PETROLEUM,West I,8989444555,28PRAHALAD@GMAIL.COM,"Khasra No. 131/4,   Khargaone Sanawad Road 451113"
60135RA135,Singhwahini Enterprises,East,9431383137,50SINGHBISHWAJIT@GMAIL.COM," Khata No. Plot No- 212(P), Maheshpur Pakur Maheshpur 816106"
45738TA738,SHYAM PETROLEUM,West II,9723669410,823843231M@GMAIL.COM,"Taluka –JAMJODHPUR,, G30 Survey No. 1305/Paiki 4 Village –JAMJODHPUR, Jamnagar Jamnagar 360530"
45766TA766,K M  PETROLEUM,West II,8238432316,823843231M@GMAIL.COM," Survey Number 350 Paiki 2 Paiki 2, village : Khoja Beraja, Jamnagar Jamnagar 361012"
46368TA368,Shree Bavishi Petroleum,West II,9978564141,823843231M@GMAIL.COM," 536 & 538 (Old Survey no. 34/Paiki 3), Village-Kotda Bavisi, Taluka-Jamjodhpur, Jamnagar Jamnagar 360480"
46372TA372,Madhav Fuel Station,West II,8238432316,823843231M@GMAIL.COM," 165, Village-Mitadi, Taluka-Manavadar, Distt.-Junagadh, Junagadh Junagadh 362630"
46375TA375,Shree Pareshwar Petroleum,West II,8238435345,823843231M@GMAIL.COM," 2352, Village-Jamjodhpur, Taluka-Jamjodhpur, Distt.-Jamnagar, Jamnagar Jamnagar 360530"
55960XA960,Sulthan Filling Station,South II,9885434600,9966449765," Survey No: 700,Kurnool road, Pttikonda village & mandal, Kurnool Kurnool 518380"
55292XA292,Adhavan Agency,South I,9443413569,AADHAVANEOLSNVD@GMAIL.COM,  Kattu Veppilaipatti Salem Kattu Veppilaipatti-Valapadi 636111
50918NA918,Shri Bankey Bihari Enterprises,North,8006717150,AAKASH.LOVEME.VARSHNEY@GMAUL.COM," Khasra No.  622,Tehsil -  Iglas Village - Naya Bass Ektajpur Aligarh Aligarh 202123"
50628NA628,Agarwal Filling Station (Reconst: 50352NA352),North,9452307500,AAKASH00123456@GMAIL.COM,"Hardwahi, U02 Hardwahi  Lakhimpur-Kheri  Nighasen 262905"
50750NA750,Aapki Sewa Filling Station,North,9506835000,AAPKISEWA01@GMAIL.COM, Gata No. 1015 Sargatiya karan patti Kushinagar Kushinagar 274305
45761TA761,Aara Petroleum,West II,9726040506,AARA.RAMPURA@GMAIL.COM, Survey # 137/2 Village Rampura Mehsana Mehsana 384002
46123TA123,Aarav Petroleum,West II,7383822122,AARAVPETROLEUM.RAIYA@YAHOO.COM," Survey No 671/Paiki 1, Village: Raiya,Taluka: Deodar,  Banaskantha,  Banaskantha, 385330"
56067XA067,V.S.V. Petroleum,South I,9486371629,aaryayyappan@gmail.com," S:No:284/8A2 & 284/7B, Aloor Village, Kalkulam Taluk, Kanyakumari Kanyakumari 629801"
55245XA245,S S Filling Station,South II,9900966655,AASHIK@SHAMANURSUGARS.COM," Plot No. 7,K.I.A.D.B.Area, N.H.4,Bye Pass,Tumkur Tumkur Tumkur 572106"
45128TA128,Shiv Malhar Service Station,West I,8007495333,AASHISH333DEVKAR@GMAIL.COM,"Pune Gat No. 773, Jejuri Purandhar Pune Jejuri 412303"
45223TA223,Chirag Petroleum,West II,9428558558,AASHOKVYAS52@GMAIL.COM," Survey No.177p,Village:Vadgam  Banaskantha Vadgam 394235"
46120TA120,AASOO PETROLIYAM,West II,9426383449,AASOO_PETRO@YAHOO.COM," Survey No. 457, Vill. Vajiyakhunt, Ta. Santrampur Dist. Mahisagar, Mahisagar, Mahisagar, 389260"
45002TA002,Aastha Petroleum,West II,9227555447,AASTHAPETROLEUM@YAHOO.COM,Near Sarmat Patia Survey No 87 Jamnagar Okha Road Jamnagar Sarmat Patiya 383450
56190XA190,M Aswarthareddy,South II,9849012737,aaswarthareddy2737@gmail.com," Sy No: 18/1A, Bukkarayasamudram (V), Anantapur (M) Anantapur Anantapur 515001"
45233TA233,Royal Automobile,West I,9827266610,ABBASLANDMARK@GMAIL.COM," Kharakhedi, Sh-31 Mhow-neemuch Road Ratlam Ratlam 457001"
50742NA742,M.B. FILLING STATION,North,9758012348,ABBUCHADURY.2014@GMAIL.COM,sadabad Khasra No.831 Village Bilara Hathras  Hathras 281306
55433XA433,N.R.Abdul Khadir Agency,South I,9159253401,ABDULLABASHA139@GMAIL.COM, SURVEY NO.518/1B Veeramangalam Village Thiruvallur Thiruvallur 630302
50280NA280,S S Enterprises,North,9415209137,ABHAY_GHAZI@YAHOO.CO.IN, Khasra No. 269 Pargana-Zahoorabad Ghazipur Ghazipur 233001
50885NA885,Gateway Fuels,West III,9929763399,ABHI20SEVEN@GMAIL.COM," Survey No. 6377/3544, 6382/3547, 6380/35  Village - Barapal, Tehsil - Girwa, Udaipur Udaipur 313801"
50199NA199,Anita Filling Station,West III,9414498621,ABHIJIT91@GMAIL.COM,"Bhopalgarh Khasra No.1588/3, Baori   Jodhpur Jodpur 342037"
55264XA264,Abhilash Fuels,South I,9497624936,ABHILASHFUELS007@GMAIL.COM,"231/3 Survey No. 233/2, 232/2, 231/   Thrissur Azhikode 680673"
60512RA512,Mina Devi Automobile,East,9474168972,abhimanyu.agarwalaa@gmail.com," JL No.153, Khatian No.114,112,235 & 32, Plot No.599 & 600, Birbhum Birbhum 731132"
60440RA440,A J Filling Station,East,9957198553,ABHINANDANHAZARIKA8@GMAIL.COM," Dag No-99, Patta No-14,Lahdoigarh Grant, Gadhuli Bazar, Sivasagar, Assam Sivasagar Sivasagar 785681"
50873NA873,SHRI NATH FILLING STATION,North,8449994678,ABHINAVDIXIT@GMAIL.COM," Plot No. 204/1, 204/2, Bharthana, Tehsil & district - Etawah Etawah Etawah 206001"
60483RA483,Sree Enterprises,East,9078123612,abhisek.patro@gmail.com," Plot.No.65,Kh No.6,Village-Bordeliguda, Taluka-Bissamcuttack, Rayagada Rayagada 765019"
50875NA875,Leela Fuels,North,9919333304,ABHISHEK.SHUKLA5101@GMAIL.COM," Plot No- 4,5,6,13 & 14, Khasra No- 567, Village.Bagdaudhi Bangar, Tehsil.Kanpu, Kanpur Kanpur 209217"
51180NA180,Dev Filling Station,North,9415641259,ABHISHEK343.SINGH@GMAIL.COM," 1755,Village- Lehda khas,Tehsil-Pharenda Dist- Maharakganj, Uttar Pradesh Maharakganj Maharakganj 273155"
46307TA307,Sona Panna Filling Station,West I,9575786345,ABHISHEKCHOUBEY031@GMAIL.COM," Survey No. 164/3, Vill.Kishanpatnan, Tal- Bohribund, Dist. Katni Katni Katni 483330"
51092NA092,Dhoom & Sons Filling Station,North,9536211196,ABHISHEKSAINI0132@GMAIL.COM," Khasra No. 365/1& 372/1, RampurmaniharaN Delhi Road, Dist, Saharanpur Saharanpur Saharanpur 247451"
45470TA470,Shiv Shanti Enterprises,West I,9893941085,ABHISINGHPATEL@GMAIL.COM,Gairatganj - Sagar Road   Raisen Bopal 464886
55792XA792,Shri AAC Fuels,South I,9994921941,ABINAACOTTON@GMAIL.COM," 144/1B,144/1E, &144/1F, Inam Karur Villg Karur Taluk, Karur Dist Karur Karur 639006"
50418NA418,ABL Fuels,North,9756207194,ABLFUELS@GMAIL.COM,Khasra No. 963   Haridwar Roorkee 247667
46929TA929,Nilkanth Petroleum,West II,9909467436,abp_82@rediffmail.com, Survey No. 498 AT & POST : SUNAK Mehsana Mehsana 384170
45225TA225,Bhavani Petroleum,West II,9978783622,ABPATEL22034@GMAIL.COM,"Dholera Survey No.453, Village : Dholera Ahmedabad Dholera 382455"
45874TA874,MADHAV PETROLEUM,West II,9687622034,ABPATEL22034@GMAIL.COM, Survey No - 279(OLD SURVEY NO.244) Taluka BAYAD  ARAVALLI  ARAVALLI 383325
55471XA471,V.B.Laxmi Narasimha Filling Station,South II,9096460007,ACHARYA.0605@GMAIL.COM," Survey No 65/B, Ieeja Village & Mandal, Mahabubnagar Mahabubnagar 502103"
46422TA422,Jayhind Petrolium,West II,9099646444,actarwadi@gmail.com, SURVEY NO 496/PAIKI 1 VILLAGE: BHILODA ARAVALLI ARAVALLI 383245
55881XA881,Sri Manjunatha Filling Station,South II,9640149457,adduladharmareddy@gmail.com," Survey No  : 197, Natchahalli, Wanaparthy Mandal & District Wanaparthy Mandal Wanaparthy Mandal 509103"
50110NA110,ADEEBA FILLING STATION,North,8052777777,ADEEBA_AUTO@YAHOO.CO.IN,Khasra No. 261   Azamgarh Mehnagar 276001
45608TA608,Shree Mahalaxmi Auto Services,West I,9822229291,ADITYA2946@GMAIL.COM,"Village Pawnar, Survey No.249,  Wardha Wardha 442001"
50506NA506,Aditya Filling Station,North,9756780001,ADITYAMAHESHWARI29@GMAIL.COM,"Mainpuri Gate, U09 House No. 26, Opp Dank Bangla,  Firozabad Ferozabad 283203"
60431RA431,Aditya Fuels,East,9425208873,ADITYATRADINGCODMT@GMAIL.COM," Kh. No. 391/2, PH No. 29, Village - Balodgahan, Tehsil - Gurur, Balod Balod 491227"
51168NA168,Tatawat Filling Centre,West III,9983739536,ADKGAUTAM@GMAIL.COM," Khasra No. 455 & 456, Village – Nagar Tehsil – Dooni, Distt. – Tonk, Tonk Tonk 304023"
50894NA894,Sahupur Filing Station,North,9359991113,adnanakbar123@gmail.com," Khasra 21,Village-sahupur Tehsil - Kanth Moradbad Moradbad 244001"
56118XA118,A.D.S.Automobiles Station,South I,8939660568,adsessar@yahoo.com," S No. 34/9B ,Thiruvallur Village, Ilayangudi Taluka, Sivganga Sivganga 630709"
51224NA224,Kishan Petroleum,West III,9950056134,adv.kpchoudhary@gmail.com," 89, SILONA DHANI, PRATAPPURA,  SANCHORE, JALORE (RAJ) JALORE JALORE 343041"
50562NA562,Dwarka Prasad Goyal Petrol Pump,North,8445797090,ADV.MANOJGOYAL@GMAIL.COM,"Village – Naant Raja, U16 Khasra No. 542  Mathura Mathura 281202"
51452NA452,Dwarika Prasad Goyal Petrol Pump,North,7599422218,adv.manojgoyal@gmail.com," Khasra No. 540/2, Village. Bhardavan Bangar, Mathura Mathura 281406"
50710NA710,Cheema Filling Station,North,9315684404,ADV.NIRANJANCHEEMA@GMAIL.COM, Mustafabad road  Yamunanagar Yamunanagar 133103
51817NA817,Shukla Filling Center,North,9335913625,adv.sarojshukla1@gmail.com," Khasra No 553, Village - Kanhamau, Tehsil - Sidhauli, Sitapur Sitapur 261303"
51090NA090,Ganga Filling Station,North,9719840855,advankitlaksar@gmail.com," Khasra No. 49, Village Tikkampuri Tehsil. Lakshar, Dist. Haridwar Haridwar Haridwar 247663"
51071NA071,Super Energy Point,North,9988017402,ADVIQBAL4@GMAIL.COM," Khasra No. 42//2/2(4-18), Vill. Bohru, Tehsil. Patti & Distt. Amritsar Amritsar Amritsar 143009"
51498NA498,Garg Filling Station,North,9056255555,advlukeshgarg28@gmail.com," Thikriwala Barnala Road,Thikriwal  Barnala Barnala 148101"
51174NA174,Ranvir Filling Station,North,9416996261,ADVPHOGAT@GMAIL.COM," Mahendergarh Road, Charkhi Dadri, Dist.Bhiwani, Haryana, India Bhiwani, Bhiwani, 127306"
55457XA457,S D A FILLING STATION,South II,9160625002,AFZALBASHA987@GMAIL.COM, SY.NO. 535/1 & 538/2 PULIVENDULA ROAD KADAPA KADAPA 516329
50385NA385,Shree Maa Fill & Fly,North,9760644444,AG.ASHIRWAD@GMAIL.COM,Khasra No. 10   Badaun Silhari 243601
51379NA379,Bisalpur Filling Station,North,9760644444,AG.ASHIRWAD@GMAIL.COM," Khasra No-525,Village- Karore, Tehsil- Bisalpur, District-Pilibhit, Pilibhit Pilibhit, 262201"
55903XA903,Sri Deviramma Petrol Bunk,South II,9970999473,AG252770@GMAIL.COM," Sy No - 123, Shivayogipura Village, Madihalli Hobli, Belur Taluk, Hassan Hassan 573115"
51219NA219,Agam Filling Station,North,9218672900,AGAMFILLINGSTATION@GMAIL.COM," Khasra No. 44(2-6) & 49(2-0), Vill. Sandholi,Tehsil. Baddi Solan Solan 173205"
50748NA748,Shiva Fuels,North,9416884899,AGARWALINDUSTRIESGROUP@GMAIL.COM," Khewat No 157,  Khatoni No 218, Mahendergarh Mahendergarh 123001"
51769NA769,Thakur Dass Fill & Fly,North,9210023299,agarwalindustriesgroup@gmail.com," Khewat No.225Min,Khatoni No.245 Min, Rect-98,Kila No.23/2(4-2), Karnal Karnal 132116"
50355NA355,Shyamji Filling Station,North,9415326055,AGARWALMANISH02@REDIFFMAIL.COM,Khasra No.293   Shahjahanpur Sadar 242226
60363RA363,SHYAM BABA SERVICE STATION,East,9932979520,AGARWALRACHNA4@GMAIL.COM, PO- BETHUADAHARI   NADIA NADIA 741126
51259NA259,Shree Nath Petroleum,West III,9414046310,AGARWALVINOD972@GMAIL.COM," Khasra no.  766/338 & 694/338, Village Govindi, Tehsil Nawa Nagaur Nagaur 341509"
50377NA377,Agarwal Filling Station,North,9758831561,AGGFILLINGSTN@GMAIL.COM,Siyana Road  Khasra No.299/1 Bulandshahr Siyana 245412
55947XA947,Sri Vari Agencies,South I,9444119929,AGKBIRAN@GMAIL.COM," T.Sno.2/3,Ambathur Village, Ambathur Taluk, Thiruvallur(Greater Chennai) Thiruvallur(Greater Chennai) 600058"
50403NA403,Agra Fuels,North,9058097497,AGRAFUELS@YAHOO.COM,Khasra No. 193   Agra Etmadpur 282002
55239XA239,Ahila Fuels,South I,8289812764,AHILAPLYWOOD@GMAIL.COM,"2004/5-4 Survey No.2002/5-2,2004/5-   Trivandrum Nedumangad 695609"
45799TA799,AHIR  PETROLEUM,West II,9825225750,AHIRPETROLEUM2015@GMAIL.COM, Village : Nagavaladiya  Kutch Kutch 370110
45983TA983,Kanaiya Petroleum,West II,9925140842,AHIRSUBHASH2132@GMAIL.COM," 178/Paiki, Village – Verad, Taluka – Bhanvad, Devbhumi Dwarka Devbhumi Dwarka 360510"
60511RA511,Baidyanath Fuel Station,East,6200418921,aidyanathfuel2012@gmail.com," Plot No.- 612, Khata No.- 53, Mouza - Chakunda, P.S - Fatehpur, Jamtara Jamtara 814166"
45438TA438,Adarsh Petrol Pump,West I,9406687786,AIJAJMOHD01011960@GMAIL.COM," Survey No - 142 / 2 Village - Fatehpur, Taluka- Burhanpur, Burhanpur Burhanpur 450331"
55308XA308,Sekar & Sons,South I,7639729056,AIM_SAMPATH@YAHOO.COM.SG,"Pallipatu Village, T05 Survey No.38/13 (Old Survey No.38/5B1A(Part) Cuddalore Pallipattu 606104"
55385XA385,Sekar & Sons,South I,7639729056,AIM_SAMPATH@YAHOO.COM.SG, No.31/2B1 31/3B1 Cuddalore Virudhachalam 607002
55718XA718,Aiswarya Fuel Station,South I,8220263626,AISWARYAFUELSTATION@GMAIL.COM," 3/312, Kuttralam Main Road, Maranthai, Tirunelveli District Tirunelveli Tirunelveli 627851"
45671TA671,Belani Petro Station (Reconst: 45502TA502),West I,9424488188,AJ.ANKITJAIN10@GMAIL.COM,  Sagar Road Sagar Banda 470002
46172TA172,Shri Tarkeshwar Petroleum,West I,9823239119,AJ207237@GMAIL.COM," Gut No.559, Vill- Konjawade  Tal- Patan Distt- Satara Satara Satara 415014"
50487NA487,Manoj Filling Station,North,9997007601,AJAY.TEOTIA.007@GMAIL.COM,Village Mumrejpur Khasra No. 266  Bulandshaher Shikarpur 202395
50682NA682,MANOJ PETROLEUM,North,9997007601,AJAY.TEOTIA.007@GMAIL.COM, Village Narsaina  Bulandshahar Bulandshahar 203412
51560NA560,Shri Krishna Fuel Station,West III,7014317364,ajay_015@yahoo.com," Murbba No.7,Kila No.1,Stone No.74/133, Village-14 K.R.W.,Tehsil-Sadulshahar, Sri Ganganagar Sri Ganganagar 335062"
50398NA398,Dhanwanti Filling Station,West III,9829908694,AJAY_GARGI2002@YAHOO.COM,Khasra No.381   Churu Ratangarh 331022
50759NA759,Aditya Filling Station,North,9792919999,AJAYANAWABS99@GMAIL.COM, Khasra No 1 Mi 2 Kita Raibareli Raibareli 229301
51095NA095,Baranwal Filling Station,North,7376721239,ajaybarnawal.au@gmail.com," Khasra No-250A Village- Pakri, Tehsil-Sadar Sultanpur Sultanpur 228159"
50615NA615,A.D Automobiles,North,7408275072,AJAYBHATANI04@GMAIL.COM, Khasra  No- 1159 & 1160 Vill- Mishrauli dixit Deora Deora 274701
50779NA779,Om Sai Filling Station,North,9936269471,AJAYGUPTA4050@GMAIL.COM," Gata No. 200, Village Jogiya, Maharajganj Maharajganj 273151"
50655NA655,Shri KANNHA FILL N FLY,North,7060072690,AJAYKHANDELWAL.IOCL@GMAIL.COM,"Village Bhadawal, Khasra No.114/1  Mathura Mathura 205119"
46470TA470,Jai Jata Shankar Petroleum,West I,7694005601,ajaykhatri1973@rediffmail.com," Survey No. 736/1, 736/2, Village-Abhana Tehsil-Damoh, Distt-Damoh Damoh Damoh 470661"
50307NA307,Om Siddh Filling Station,North,9911449917,AJAYKUSWAH421@GMAIL.COM,Khasra No. 235   Gautam Budh Nagar Dadri 203207
51382NA382,Marutinandan Filling Station,West III,9680188076,AJAYMEHTASHP@GMAIL.COM," Khasra No. 290/3339, Village: Arniya  Rasa, Teshil: Shahpura, Bhilwara Bhilwara 311404"
46946TA946,Krishna Petroleum,West II,7567605128,ajayraj6560@gmail.com," Survey No: 493 (Old Survey No 298), Village: Jaska,Taluka: Dhandhuka, Ahmedabad Ahmedabad 382460"
56596XA596,Sri Bhavani Filling Station,South II,9491471508,ajayreddy370@gmail.com," Survey No. 334,Samudralingapur Village, Gambiraopet Mandal, Siricilla Siricilla 505035"
45941TA941,RC Petroleum,West I,9423496602,ajayrsonar@gmail.com," Survey No. 103/1A,Plot No 3, 4 & 5 Village-Korai Nandurbar Nandurbar 425419"
50930NA930,Vijay Laxmi Filling Station,West III,9602447083,AJAYSINGHPICHNOT@GMAIL.COM," Khasra.1278, Village-Lahavad, Tehsil-Nadoti Karauli Karauli 302204"
51553NA553,Samrat Filling Station,North,9728897600,ajayyadav1280@gmail.com," Vill.Khor,Ateli Mandi,  Mahendergarh Mahendergarh 123021"
45544TA544,Kathor Petroleum,West II,9978764820,AJAZ502@GMAIL.COM,"NH-8, Amboli Cross Road   Surat Kathor 394150"
50838NA838,Ajeet Petrolium,West III,9982851800,ajeetpetroleum@gmail.com," Khasra No:-2132/128, Village:-Daspa, Jalore Jalore 343029"
50656NA656,Harsh Filling Station,West III,9414652230,AJESHKUMARJAIN12@GMAIL.COM, Village:-Dhara Khedi  Jhalawar Jhalawar 326034
55714XA714,Sri Guru Siddarameshwara Fuel,South II,7026524928,AJITH.JENUKAL@GMAIL.COM," Sy.No.44/2, Sankihalli, Arasikere Taluka Javagal Road, Hassan District Hassan Hassan 573125"
46184TA184,Shri Sai Ganesh Petroleum,West I,9158507171,AJITJADHAV7171@GMAIL.COM," Gat No 852 (Part) ,Bachani, Taluka - Kagal, Dist- Kolhapur  Kolhapur 416216"
51809NA809,Motikiran Fuels,North,9813118877,Akash Mangla@Hotmail.com," Khewat No-321, Khatoni No, 331, Rect No-11/1 (4-15), Village -Agwanpur, Palwal Palwal 121102"
51460NA460,Akash Petroleum,West III,9848248122,akashpetroleumakoli@gmail.com," Khasra no, 2266/214 , Village- Akoli Tehsil- Jalore , Distt- Jalore Jalore Jalore 343025"
50163NA163,Salarpur service Station,North,9452268834,AKASINGH1982@GMAIL.COM, Khasra Nos. 129 & 130 Nawabganj Barabanki Nawabganj 225301
60417RA417,Arihant Fuels,East,9300177248,AKDADKUL@GMAIL.COM," Kh.No101/1,PH No.26,Village- Fooljhar Tedesara Mudhipar Rd,Tehsil-Rajnandgaon Rajnandgaon Rajnandgaon 491441"
50408NA408,Shanti Filling Centre,North,7017631373,AKHIL1805@GMAIL.COM,Survey No.276   Muzaffarnagar Muzaffarnagar 251001
45242TA242,Radha Automobiles,West I,9826231859,AKHILESH.AG.1777@GMAIL.COM, Seondha - Datia Road Seondha Datia Datia 475682
45700TA700,Harsh Automobiles,West I,9826231859,AKHILESH.AG.1777@GMAIL.COM, Survey no 216/3 Village- Charokhtra Datia Datia 475682
60425RA425,Highway Petroleum,East,9424128700,AKHILESHSHARMA111111@GMAIL.COM," Kh.No.178, PH No.03,NH-30, Vill-Karesara Tehsil-Thankhamhariya, Distt.-Bemetara, Bemetara, Bemetara, 491335"
50075NA075,Star Filling Station,North,9837779799,AKHTERSADIQ@YAHOO.COM,Khasra No. 1465   Badaun Badaun 202520
60008RA008,RAJ AUTOMOBILES,East,9431122068,AKS_DHN59@YAHOO.COM,Khata No: 33   Dhanbad Brahmandina 826001
46415TA415,Akshar Petroleum,West II,7984026079,AKSHARPETROLEUM.PIPLI@GMAIL.COM," Survey No.305, Villlage PIPLI Taluka BORSAD,Distt ANAND ANAND ANAND 388530"
45129TA129,Mahalaxmi Petroleum,West I,7620338484,akshay.tanugade@gmail.com,"Karveer Survey No.106, Hissa No.18,19, Nagdeowadi (balinga) Kolhapur Kolhapur 416115"
60177RA177,Maharaja Fuels,East,8226942152,AKSHAYGUDU@REDIFFMAIL.COM,Tulsi Hairgaon   Bhojpur Jagdishpur 802162
51610NA610,Guru Kripa Filling Station,West III,9929891210,akshaykumar.coolkumar30@gmail.com," Khasra No. 550/3,Village-Kharad, Tehsil-Gudamalani (Dhorimanna), Barmer Barmer 344001"
46657TA657,Akshay Fuel,West I,9423623541,akshaynakat@outlook.com," Survey No:115, Village: Subhanpur Taluka: Chandur Bazar Amravati Amravati 444806"
51213NA213,Pratibha Filling Station,West III,9414617567,AKSHAYPAREEK37917@GMAIL.COM," Khasra No.225/2, Village: Beer ka Kheda ehsil: Mandalgarh, Dist.: Bhilwara  Bhilwara,  Bhilwara, 311604"
55771XA771,Akshay Petroleums,South II,9686639999,AKSHAYPETROLEUMS@GMAIL.COM, R.Sy. No.191/A/2; Village Sudi; Taluk Ron; District Gadag Gadag Gadag 582211
